

          ---- Modelling Progress and Iteration Messages ----


 Description of column-headers and variables:
   ITERFL  = Iterations to solve flow
   ITERSQ  = Sequential transport-chemistry iterations
   MAXITCH = Maximum iterations to solve chemistry
   AVGITCH = Average iterations to solve chemistry
   DELTA-T = Current time step (days)
   Dt limit = Criterion limiting timestep
   Maxitch ID = Grid block: maximum chemical iterations

     STEP   Time(yr)   ITERFL ITERSQ MAXITCH AVGITCH Delta-t(day)  Dt limit       Maxitch ID
 ----------------------------------------------------------------------------------------------------------
     1180  0.394773E-01     2     1    251    2.764  0.16709E-01  Chm_Delta_t       0bo 1
     1190  0.401003E-01     2     1    246    2.830  0.12473E-01  Chm_Delta_t       0W4 1
     1200  0.404487E-01     2     1    244    2.716  0.93112E-02  Chm_Delta_t       0Js 1
     1207  0.410687E-01     2     1    256    2.716  0.85003E-02  Flo_Delta_t       0Nu 1
     1210  0.411990E-01     2     1    244    3.059  0.20401E-01  Flo_Delta_t       0Kb 1
     1220  0.418814E-01     2     1    247    2.939  0.15229E-01  Chm_Delta_t       0YN 1
     1230  0.424890E-01     2     1    250    2.826  0.37895E-01  Flo_Delta_t       0TS 1
     1240  0.433722E-01     2     1    260    2.803  0.28288E-01  Flo_Delta_t       0bn 1
     1242  0.438066E-01     2     1    259    3.595  0.10207E+00  Flo_Delta_t       0R7 1
     1250  0.443757E-01     2     1    251    2.860  0.19049E-01  Chm_Delta_t       0Ta 1
     1260  0.450743E-01     2     1    254    2.923  0.47400E-01  Flo_Delta_t       0BY 1
     1270  0.460866E-01     2     1    253    2.824  0.10615E-01  Chm_Delta_t       0AT 1
     1279  0.465445E-01     2     1    239    2.964  0.21164E-01  Flo_Delta_t       0T0 1
     1280  0.465793E-01     2     1    229    2.924  0.12698E-01  Chm_Delta_t       07A 1
     1290  0.473690E-01     2     1    251    2.907  0.31598E-01  Chm_Delta_t       0RL 1
     1300  0.479276E-01     2     1    252    2.673  0.70763E-02  Chm_Delta_t       0bd 1
     1310  0.484670E-01     2     1    248    2.856  0.17608E-01  Chm_Delta_t       0TE 1
     1320  0.491889E-01     2     1    251    2.913  0.43815E-01  Flo_Delta_t       0Ks 1
     1322  0.492824E-01     2     1    231    2.776  0.78543E-02  Flo_Delta_t       0Ij 1
     1330  0.497980E-01     2     1    250    3.215  0.54289E-01  Flo_Delta_t       0BR 1
     1340  0.502290E-01     2     1    240    2.740  0.12158E-01  Chm_Delta_t       07S 1
     1350  0.510496E-01     2     1    249    2.896  0.30253E-01  Flo_Delta_t       0ES 1
     1360  0.515011E-01     2     1    241    2.780  0.22584E-01  Chm_Delta_t       0XH 1
     1369  0.520203E-01     2     1    245    2.853  0.16316E-01  Flo_Delta_t       0Je 1
     1370  0.520471E-01     2     1      5    2.715  0.97897E-02  Chm_Delta_t       0TN 1
     1380  0.528685E-01     2     1    248    2.779  0.24360E-01  Chm_Delta_t       0Fn 1
     1390  0.538866E-01     2     1    253    2.840  0.60615E-01  Flo_Delta_t       0O1 1
     1398  0.547582E-01     2     1    260    2.720  0.10550E-01  Flo_Delta_t       0aR 1
     1400  0.548507E-01     2     1    238    2.738  0.12660E-01  Chm_Delta_t       0Bi 1
     1410  0.552226E-01     2     1    234    2.695  0.94503E-02  Flo_Delta_t       0I2 1
     1420  0.558829E-01     2     1    239    2.905  0.78384E-01  Flo_Delta_t       0Kl 1
     1430  0.563843E-01     2     1    245    2.752  0.17554E-01  Flo_Delta_t       0K1 1
     1440  0.577544E-01     2     1    261    2.735  0.13104E-01  Chm_Delta_t       0Tc 1
     1450  0.583895E-01     2     1    247    2.847  0.81518E-01  Flo_Delta_t       0aE 1
     1460  0.601275E-01     2     1    262    3.024  0.60853E-01  Flo_Delta_t       0SQ 1
     1470  0.608035E-01     2     1    250    2.730  0.13628E-01  Chm_Delta_t       0Gj 1
     1480  0.613104E-01     2     1    240    2.896  0.33910E-01  Flo_Delta_t       0HO 1
     1490  0.624453E-01     2     1    264    2.778  0.25314E-01  Chm_Delta_t       0GD 1
     1500  0.633701E-01     2     1    251    2.834  0.62989E-01  Flo_Delta_t       0cs 1
     1510  0.658646E-01     2     1    266    2.910  0.47021E-01  Chm_Delta_t       0db 1
     1520  0.669096E-01     2     1    260    2.796  0.10530E-01  Chm_Delta_t       0LO 1
     1530  0.675829E-01     2     1    247    2.865  0.26203E-01  Chm_Delta_t       04d 1
     1540  0.684894E-01     2     1    259    2.929  0.65201E-01  Chm_Delta_t       0HB 1
     1550  0.693120E-01     2     1    249    2.903  0.48673E-01  Flo_Delta_t       0b7 1
     1560  0.702975E-01     2     1    253    2.880  0.36334E-01  Flo_Delta_t       0GZ 1
     1570  0.708979E-01     2     1    246    2.765  0.27123E-01  Chm_Delta_t       0BC 1
